name,longitude,latitude,location,ref,man_made,operator,source,url,height,ele,communications_transponder:frequency,communications_transponder:tone,communications_transponder:modulation,communications_transponder:access,communications_transponder:service,communications_transponder:polarisation,communications_transponder:power,comment
KH6ENC,-159.71521,21.971289,"Kekaha",KH6ENC,communications_transponder,,http://www.poi-factory.com/node/2227,,,,146.86,,NFM,Public,AMATEUR,,,"offset=-"
NH7HI,-159.670837,21.958202,"Waimea",NH7HI,communications_transponder,,http://www.poi-factory.com/node/2227,,,,147.32,,NFM,Public,AMATEUR,,,"offset=+"
KH7T,-159.670837,21.958202,"Waimea",KH7T,communications_transponder,,http://www.poi-factory.com/node/2227,,,,147.38,,NFM,Public,AMATEUR,,,"offset=+"
NH6HI,-159.530258,21.928688,"Kalaheo",NH6HI,communications_transponder,,http://www.poi-factory.com/node/2227,,,,146.96,,NFM,Public,AMATEUR,,,"offset=-"
NH6FJ,-159.371643,21.980274,"Lihue",NH6FJ,communications_transponder,,http://www.poi-factory.com/node/2227,,,,147.04,,NFM,Public,AMATEUR,,,"offset=+"
KH6E,-159.371643,21.980274,"Lihue",KH6E,communications_transponder,,http://www.poi-factory.com/node/2227,,,,147.16,,NFM,Public,AMATEUR,,,"offset=+"
WH6Z,-159.358032,21.997761,"Hanamaulu",WH6Z,communications_transponder,,http://www.poi-factory.com/node/2227,,,,146.66,,NFM,Public,AMATEUR,,,"offset=-"
NH6PE,-158.188263,21.445919,"Waianae",NH6PE,communications_transponder,,http://www.poi-factory.com/node/2227,,,,146.74,,NFM,Public,AMATEUR,,,"offset=-"
KH6CY,-158.040436,21.342449,"Ewa",KH6CY,communications_transponder,,http://www.poi-factory.com/node/2227,,,,146.6,103.5,NFM,Public,AMATEUR,,,"offset=-"
WH6MK,-158.040436,21.342449,"Ewa",WH6MK,communications_transponder,,http://www.poi-factory.com/node/2227,,,,147.38,,NFM,Public,AMATEUR,,,"offset=+"
AH7HI,-157.858444,21.3067,"Honolulu",AH7HI,communications_transponder,,http://www.poi-factory.com/node/2227,,,,145.21,,NFM,Public,AMATEUR,,,"offset=-"
WH6F,-157.858444,21.3067,"Honolulu",WH6F,communications_transponder,,http://www.poi-factory.com/node/2227,,,,145.47,,NFM,Public,AMATEUR,,,"offset=-"
WH6HR,-157.858444,21.3067,"Honolulu",WH6HR,communications_transponder,,http://www.poi-factory.com/node/2227,,,,145.49,,NFM,Public,AMATEUR,,,"offset=-"
KH6WO,-157.858444,21.3067,"Honolulu",KH6WO,communications_transponder,,http://www.poi-factory.com/node/2227,,,,146.78,,NFM,Public,AMATEUR,,,"offset=-"
KH6JUU,-157.858444,21.3067,"Honolulu",KH6JUU,communications_transponder,,http://www.poi-factory.com/node/2227,,,,146.84,,NFM,Public,AMATEUR,,,"offset=-"
WH6CZB,-157.858444,21.3067,"Honolulu",WH6CZB,communications_transponder,,http://www.poi-factory.com/node/2227,,,,146.98,,NFM,Public,AMATEUR,,,"offset=-"
KH6ICX,-157.858444,21.3067,"Honolulu",KH6ICX,communications_transponder,,http://www.poi-factory.com/node/2227,,,,147.22,,NFM,Public,AMATEUR,,,"offset=+"
AH6BW,-157.858444,21.3067,"Honolulu",AH6BW,communications_transponder,,http://www.poi-factory.com/node/2227,,,,147.34,,NFM,Public,AMATEUR,,,"offset=+"
KH6BFZ,-157.802856,21.4177,"Kaneohe",KH6BFZ,communications_transponder,,http://www.poi-factory.com/node/2227,,,,147.2,,NFM,Public,AMATEUR,,,"offset=+"
WH6CWI,-157.738953,21.402868,"Kailua",WH6CWI,communications_transponder,,http://www.poi-factory.com/node/2227,,,,145.15,,NFM,Public,AMATEUR,,,"offset=-"
WH6CZB,-157.738953,21.402868,"Kailua",WH6CZB,communications_transponder,,http://www.poi-factory.com/node/2227,,,,146.66,,NFM,Public,AMATEUR,,,"offset=-"
WH6CXI,-157.720642,21.348969,"Waimanalo",WH6CXI,communications_transponder,,http://www.poi-factory.com/node/2227,,,,145.23,,NFM,Public,AMATEUR,,,"offset=-"
AH6PQ,-157.720642,21.348969,"Waimanalo",AH6PQ,communications_transponder,,http://www.poi-factory.com/node/2227,,,,146.7,,NFM,Public,AMATEUR,,,"offset=-"
KH6EJ,-157.215729,21.136154,"Maunaloa",KH6EJ,communications_transponder,,http://www.poi-factory.com/node/2227,,,,146.82,,NFM,Public,AMATEUR,,,"offset=-"
AH6JA,-157.215729,21.136154,"MaunaLoa",AH6JA,communications_transponder,,http://www.poi-factory.com/node/2227,,,,147.04,,NFM,Public,AMATEUR,,,"offset=+"
W6KAG,-157.039688,21.155024,"Kualapuu",W6KAG,communications_transponder,,http://www.poi-factory.com/node/2227,,,,145.37,,NFM,Public,AMATEUR,,,"offset=-"
WH6CZB,-156.947998,21.225901,"Diamond",WH6CZB,communications_transponder,,http://www.poi-factory.com/node/2227,,,,Head,,NFM,Public,AMATEUR,,,"offset=146.88MHz"
AH6RH,-156.947998,21.225901,"Diamond",AH6RH,communications_transponder,,http://www.poi-factory.com/node/2227,,,,Head,,NFM,Public,AMATEUR,,,"offset=147.06MHz"
KH7O,-156.947998,21.225901,"Diamond",KH7O,communications_transponder,,http://www.poi-factory.com/node/2227,,,,Head,,NFM,Public,AMATEUR,,,"offset=147.36MHz"
NH6XO,-156.947998,21.225901,"Haleakala",NH6XO,communications_transponder,,http://www.poi-factory.com/node/2227,,,,146.94,,NFM,Public,AMATEUR,,,"offset=-"
WH6KO,-156.947998,21.225901,"Haleakala",WH6KO,communications_transponder,,http://www.poi-factory.com/node/2227,,,,146.94,,NFM,Public,AMATEUR,,,"offset=-"
KH6H,-156.947998,21.225901,"Haleakala",KH6H,communications_transponder,,http://www.poi-factory.com/node/2227,,,,147.02,,NFM,Public,AMATEUR,,,"offset=+"
AH6GR,-156.947998,21.225901,"Haleakala",AH6GR,communications_transponder,,http://www.poi-factory.com/node/2227,,,,147.18,,NFM,Public,AMATEUR,,,"offset=+"
WH6DEW,-156.947998,21.225901,"Hualalai",WH6DEW,communications_transponder,,http://www.poi-factory.com/node/2227,,,,147.16,,NFM,Public,AMATEUR,,,"offset=+"
KH6E,-156.947998,21.225901,"Kahili",KH6E,communications_transponder,,http://www.poi-factory.com/node/2227,,,,146.92,,NFM,Public,AMATEUR,,,"offset=-"
KH6JJC,-156.947998,21.225901,"Kukuilono",KH6JJC,communications_transponder,,http://www.poi-factory.com/node/2227,,,,146.82,,NFM,Public,AMATEUR,,,"offset=-"
KH6EJ,-156.947998,21.225901,"Kulani",KH6EJ,communications_transponder,,http://www.poi-factory.com/node/2227,,,,Cone,,NFM,Public,AMATEUR,,,"offset=146.76MHz"
NH6QJ,-156.947998,21.225901,"Leeward",NH6QJ,communications_transponder,,http://www.poi-factory.com/node/2227,,,,145.13,,NFM,Public,AMATEUR,,,"offset=-"
KH7TK,-156.947998,21.225901,"Leeward",KH7TK,communications_transponder,,http://www.poi-factory.com/node/2227,,,,145.43,77,NFM,Public,AMATEUR,,,"offset=-"
KH6EJZ,-156.947998,21.225901,"Leeward",KH6EJZ,communications_transponder,,http://www.poi-factory.com/node/2227,,,,145.45,,NFM,Public,AMATEUR,,,"offset=-"
KH6EJZ,-156.947998,21.225901,"Leeward",KH6EJZ,communications_transponder,,http://www.poi-factory.com/node/2227,,,,147.08,,NFM,Public,AMATEUR,,,"offset=+"
WR6AVM,-156.947998,21.225901,"Maunakapu",WR6AVM,communications_transponder,,http://www.poi-factory.com/node/2227,,,,146.62,,NFM,Public,AMATEUR,,,"offset=-"
WH6CZB,-156.947998,21.225901,"Maunakapu",WH6CZB,communications_transponder,,http://www.poi-factory.com/node/2227,,,,146.8,,NFM,Public,AMATEUR,,,"offset=-"
KH6JPL,-156.947998,21.225901,"Maunakapu",KH6JPL,communications_transponder,,http://www.poi-factory.com/node/2227,,,,147.12,,NFM,Public,AMATEUR,,,"offset=+"
AH6J,-156.947998,21.225901,"MaunaKea",AH6J,communications_transponder,,http://www.poi-factory.com/node/2227,,,,146.72,,NFM,Public,AMATEUR,,,"offset=-"
WH6CZB,-156.947998,21.225901,"North",WH6CZB,communications_transponder,,http://www.poi-factory.com/node/2227,,,,Shore,,NFM,Public,AMATEUR,,,"offset=146.64MHz"
KH6FV,-156.947998,21.225901,"North",KH6FV,communications_transponder,,http://www.poi-factory.com/node/2227,,,,Shore,,NFM,Public,AMATEUR,,,"offset=146.76MHz"
KH6LJ,-156.947998,21.225901,"North",KH6LJ,communications_transponder,,http://www.poi-factory.com/node/2227,,,,Shore,,NFM,Public,AMATEUR,,,"offset=146.9MHz"
NH6XO,-156.947998,21.225901,"North",NH6XO,communications_transponder,,http://www.poi-factory.com/node/2227,,,,Shore,,NFM,Public,AMATEUR,,,"offset=147.36MHz"
KH6BYU,-156.947998,21.225901,"NorthShore",KH6BYU,communications_transponder,,http://www.poi-factory.com/node/2227,,,,145.29,,NFM,Public,AMATEUR,,,"offset=-"
KH6BS,-156.947998,21.225901,"Windward",KH6BS,communications_transponder,,http://www.poi-factory.com/node/2227,,,,147.14,,NFM,Public,AMATEUR,,,"offset=+"
AL2J,-156.928497,64.731133,"Galena",AL2J,communications_transponder,,http://www.poi-factory.com/node/2227,,,,146.79,103.5,NFM,Public,AMATEUR,,,"offset=-"
NH6VR,-156.682159,20.878519,"Lahaina",NH6VR,communications_transponder,,http://www.poi-factory.com/node/2227,,,,146.64,,NFM,Public,AMATEUR,,,"offset=-"
AH6IF,-156.504547,20.890951,"Wailuku",AH6IF,communications_transponder,,http://www.poi-factory.com/node/2227,,,,146.76,,NFM,Public,AMATEUR,,,"offset=-"
KH6ANA,-155.983826,19.727898,"Kalaoa",KH6ANA,communications_transponder,,http://www.poi-factory.com/node/2227,,,,145.41,,NFM,Public,AMATEUR,,,"offset=-"
KH6ANA,-155.922699,19.521526,"Kealakekua",KH6ANA,communications_transponder,,http://www.poi-factory.com/node/2227,,,,144.51,,NFM,Public,AMATEUR,,,"offset=+"
K6HI,-155.922699,19.521526,"Kealakekua",K6HI,communications_transponder,,http://www.poi-factory.com/node/2227,,,,147.34,,NFM,Public,AMATEUR,,,"offset=+"
WH6FC,-155.611099,20.109602,"Kau",WH6FC,communications_transponder,,http://www.poi-factory.com/node/2227,,,,145.29,141.3,NFM,Public,AMATEUR,,,"offset=-"
KH6EJ,-155.611099,20.109602,"Kau",KH6EJ,communications_transponder,,http://www.poi-factory.com/node/2227,,,,146.92,,NFM,Public,AMATEUR,,,"offset=-"
KH6EJ,-155.611099,20.109602,"Kau",KH6EJ,communications_transponder,,http://www.poi-factory.com/node/2227,,,,147.28,,NFM,Public,AMATEUR,,,"offset=+"
AH6GG,-155.15332,19.49255,"Glenwood",AH6GG,communications_transponder,,http://www.poi-factory.com/node/2227,,,,147,141.3,NFM,Public,AMATEUR,,,"offset=+"
KH6EJ,-155.106934,19.833445,"Pepeekeo",KH6EJ,communications_transponder,,http://www.poi-factory.com/node/2227,,,,146.88,,NFM,Public,AMATEUR,,,"offset=-"
AH6GG,-155.090744,19.728956,"Hilo",AH6GG,communications_transponder,,http://www.poi-factory.com/node/2227,,,,146.66,141.3,NFM,Public,AMATEUR,,,"offset=-"
KH6EJ,-155.090744,19.728956,"Hilo",KH6EJ,communications_transponder,,http://www.poi-factory.com/node/2227,,,,146.68,,NFM,Public,AMATEUR,,,"offset=-"
AH6GO,-155.090744,19.728956,"Hilo",AH6GO,communications_transponder,,http://www.poi-factory.com/node/2227,,,,147.1,,NFM,Public,AMATEUR,,,"offset=+"
