name,longitude,latitude,location,ref,man_made,operator,source,url,height,ele,communications_transponder:frequency,communications_transponder:tone,communications_transponder:modulation,communications_transponder:access,communications_transponder:service,communications_transponder:polarisation,communications_transponder:power,comment
WA2IBM,-121.89,37.34,"San",WA2IBM,communications_transponder,,http://www.poi-factory.com/node/2227,,,,Jose,156.7,NFM,Public,AMATEUR,,,"offset=224.1MHz"
WB6OQS,-121.89,37.34,"San",WB6OQS,communications_transponder,,http://www.poi-factory.com/node/2227,,,,Jose,123,NFM,Public,AMATEUR,,,"offset=224.26MHz"
WA6GFY,-121.89,37.34,"San",WA6GFY,communications_transponder,,http://www.poi-factory.com/node/2227,,,,Jose,100,NFM,Public,AMATEUR,,,"offset=224.28MHz"
AB6BP,-121.89,37.34,"San",AB6BP,communications_transponder,,http://www.poi-factory.com/node/2227,,,,Jose,88.5,NFM,Public,AMATEUR,,,"offset=224.34MHz"
KC6ZIS,-121.89,37.34,"San",KC6ZIS,communications_transponder,,http://www.poi-factory.com/node/2227,,,,Jose,107.2,NFM,Public,AMATEUR,,,"offset=224.44MHz"
KB6ABM,-121.89,37.34,"San",KB6ABM,communications_transponder,,http://www.poi-factory.com/node/2227,,,,Jose,156.7,NFM,Public,AMATEUR,,,"offset=224.6MHz"
KA2FND,-121.89,37.34,"San",KA2FND,communications_transponder,,http://www.poi-factory.com/node/2227,,,,Jose,110.9,NFM,Public,AMATEUR,,,"offset=224.62MHz"
N6NAC,-121.89,37.34,"San",N6NAC,communications_transponder,,http://www.poi-factory.com/node/2227,,,,Jose,110.9,NFM,Public,AMATEUR,,,"offset=224.64MHz"
WB6GUM,-121.89,37.34,"San",WB6GUM,communications_transponder,,http://www.poi-factory.com/node/2227,,,,Jose,156.7,NFM,Public,AMATEUR,,,"offset=224.66MHz"
KB6HDA,-121.89,37.34,"San",KB6HDA,communications_transponder,,http://www.poi-factory.com/node/2227,,,,Jose,100,NFM,Public,AMATEUR,,,"offset=224.86MHz"
WA6YCZ,-121.89,37.34,"San",WA6YCZ,communications_transponder,,http://www.poi-factory.com/node/2227,,,,Jose,,NFM,Public,AMATEUR,,,"offset=224.94MHz"
NT6S,-121.89,37.34,"San",NT6S,communications_transponder,,http://www.poi-factory.com/node/2227,,,,Jose,110.9,NFM,Public,AMATEUR,,,"offset=224.98MHz"
N6SPD,-121.89,36.6,"Monterey",N6SPD,communications_transponder,,http://www.poi-factory.com/node/2227,,,,224.24,123,NFM,Public,AMATEUR,,,"offset=-"
WA6YBD,-121.89,36.6,"Monterey",WA6YBD,communications_transponder,,http://www.poi-factory.com/node/2227,,,,224.9,107.2,NFM,Public,AMATEUR,,,"offset=-"
KA7AEF,-121.91,47.65,"Carnation",KA7AEF,communications_transponder,,http://www.poi-factory.com/node/2227,,,,223.9,,NFM,Public,AMATEUR,,,"offset=-"
W6MLP,-121.91,37.43,"Milpitas",W6MLP,communications_transponder,,http://www.poi-factory.com/node/2227,,,,224.72,100,NFM,Public,AMATEUR,,,"offset=-"
K7LED,-121.95,47.49,"Tiger",K7LED,communications_transponder,,http://www.poi-factory.com/node/2227,,,,Mtn,103.5,NFM,Public,AMATEUR,,,"offset=none"
K7NWS,-121.95,47.49,"Tiger",K7NWS,communications_transponder,,http://www.poi-factory.com/node/2227,,,,Mtn,110.9,NFM,Public,AMATEUR,,,"offset=none"
N6OBY,-121.95,47.49,"Tiger",N6OBY,communications_transponder,,http://www.poi-factory.com/node/2227,,,,Mtn,103.5,NFM,Public,AMATEUR,,,"offset=none"
K7MJ,-121.97,47.86,"Monroe",K7MJ,communications_transponder,,http://www.poi-factory.com/node/2227,,,,224.1,123,NFM,Public,AMATEUR,,,"offset=-"
KB6LCS,-121.98,37.23,"Los",KB6LCS,communications_transponder,,http://www.poi-factory.com/node/2227,,,,Gatos,156.7,NFM,Public,AMATEUR,,,"offset=223.82MHz"
K6FB,-121.98,37.23,"Los",K6FB,communications_transponder,,http://www.poi-factory.com/node/2227,,,,Gatos,100,NFM,Public,AMATEUR,,,"offset=223.88MHz"
K6RPT,-121.98,37.23,"Los",K6RPT,communications_transponder,,http://www.poi-factory.com/node/2227,,,,Gatos,107.2,NFM,Public,AMATEUR,,,"offset=224.58MHz"
NU6P,-121.98,37.23,"Los",NU6P,communications_transponder,,http://www.poi-factory.com/node/2227,,,,Gatos,118.8,NFM,Public,AMATEUR,,,"offset=224.8MHz"
N6DVC,-121.98,37.23,"Los",N6DVC,communications_transponder,,http://www.poi-factory.com/node/2227,,,,Gatos,88.5,NFM,Public,AMATEUR,,,"offset=224.88MHz"
KB6ABM,-121.99,38.36,"Vacaville",KB6ABM,communications_transponder,,http://www.poi-factory.com/node/2227,,,,223.84,141.3,NFM,Public,AMATEUR,,,"offset=-"
KM6KW,-121.99,38.36,"Vacaville",KM6KW,communications_transponder,,http://www.poi-factory.com/node/2227,,,,223.92,85.4,NFM,Public,AMATEUR,,,"offset=-"
KJ6MB,-121.99,38.36,"Vacaville",KJ6MB,communications_transponder,,http://www.poi-factory.com/node/2227,,,,224.12,141.3,NFM,Public,AMATEUR,,,"offset=-"
WV6F,-121.99,38.36,"Vacaville",WV6F,communications_transponder,,http://www.poi-factory.com/node/2227,,,,224.2,,NFM,Public,AMATEUR,,,"offset=-"
KB6SJG,-121.99,38.36,"Vacaville",KB6SJG,communications_transponder,,http://www.poi-factory.com/node/2227,,,,224.24,136.5,NFM,Public,AMATEUR,,,"offset=-"
N6NMZ,-121.99,38.36,"Vacaville",N6NMZ,communications_transponder,,http://www.poi-factory.com/node/2227,,,,224.42,100,NFM,Public,AMATEUR,,,"offset=-"
WA6PWW,-121.99,37.55,"Fremont",WA6PWW,communications_transponder,,http://www.poi-factory.com/node/2227,,,,223.9,,NFM,Public,AMATEUR,,,"offset=-"
KU6V,-121.99,37.55,"Fremont",KU6V,communications_transponder,,http://www.poi-factory.com/node/2227,,,,224.18,94.8,NFM,Public,AMATEUR,,,"offset=-"
W6CX,-122.03,37.98,"Concord",W6CX,communications_transponder,,http://www.poi-factory.com/node/2227,,,,224.78,77,NFM,Public,AMATEUR,,,"offset=-"
K1BMW,-122.03,37.98,"Concord",K1BMW,communications_transponder,,http://www.poi-factory.com/node/2227,,,,224.92,85.4,NFM,Public,AMATEUR,,,"offset=-"
K6TZ,-122.03,36.97,"Santa",K6TZ,communications_transponder,,http://www.poi-factory.com/node/2227,,,,Cruz,131.8,NFM,Public,AMATEUR,,,"offset=none"
K6USW,-122.04,38.25,"Fairfield",K6USW,communications_transponder,,http://www.poi-factory.com/node/2227,,,,224.38,77,NFM,Public,AMATEUR,,,"offset=-"
WB7DEW,-122.04,37.37,"Sunnyvale",WB7DEW,communications_transponder,,http://www.poi-factory.com/node/2227,,,,224.4,,NFM,Public,AMATEUR,,,"offset=-"
KB7WPO,-122.05,47.5,"Squak",KB7WPO,communications_transponder,,http://www.poi-factory.com/node/2227,,,,Mtn,103.5,NFM,Public,AMATEUR,,,"offset=224.42MHz"
KC6ZIS,-122.08,37.67,"Hayward",KC6ZIS,communications_transponder,,http://www.poi-factory.com/node/2227,,,,224.44,123,NFM,Public,AMATEUR,,,"offset=-"
KB6LED,-122.08,37.67,"Hayward",KB6LED,communications_transponder,,http://www.poi-factory.com/node/2227,,,,224.56,100,NFM,Public,AMATEUR,,,"offset=-"
K7MMI,-122.1,47.54,"Cougar",K7MMI,communications_transponder,,http://www.poi-factory.com/node/2227,,,,Mtn,100,NFM,Public,AMATEUR,,,"offset=224.44MHz"
W6AV,-122.13,37.83,"Moraga",W6AV,communications_transponder,,http://www.poi-factory.com/node/2227,,,,223.98,100,NFM,Public,AMATEUR,,,"offset=-"
W6ASH,-122.14,37.44,"Palo",W6ASH,communications_transponder,,http://www.poi-factory.com/node/2227,,,,Alto,100,NFM,Public,AMATEUR,,,"offset=224.14MHz"
N6NMZ,-122.15,39.15,"Williams",N6NMZ,communications_transponder,,http://www.poi-factory.com/node/2227,,,,224.26,100,NFM,Public,AMATEUR,,,"offset=-"
N6NAC,-122.15,37.04,"Bonny",N6NAC,communications_transponder,,http://www.poi-factory.com/node/2227,,,,Doon,110.9,NFM,Public,AMATEUR,,,"offset=224.06MHz"
N7IPB,-122.16,48.59,"Lyman",N7IPB,communications_transponder,,http://www.poi-factory.com/node/2227,,,,Hill,103.5,NFM,Public,AMATEUR,,,"offset=224.78MHz"
KQ6YG,-122.16,37.72,"San",KQ6YG,communications_transponder,,http://www.poi-factory.com/node/2227,,,,Lorenzo,156.7,NFM,Public,AMATEUR,,,"offset=224.7MHz"
K6LIE,-122.2,47.61,"Bellevue",K6LIE,communications_transponder,,http://www.poi-factory.com/node/2227,,,,224.16,,NFM,Public,AMATEUR,,,"offset=-"
AA7UJ,-122.21,47.68,"Kirkland",AA7UJ,communications_transponder,,http://www.poi-factory.com/node/2227,,,,223.86,103.5,NFM,Public,AMATEUR,,,"offset=-"
N6YCK,-122.23,40.18,"Red",N6YCK,communications_transponder,,http://www.poi-factory.com/node/2227,,,,Bluff,,NFM,Public,AMATEUR,,,"offset=224.8MHz"
WA7FUS,-122.27,47.78,"Brier",WA7FUS,communications_transponder,,http://www.poi-factory.com/node/2227,,,,224.22,103.5,NFM,Public,AMATEUR,,,"offset=-"
K7IJ,-122.27,37.87,"Berkeley",K7IJ,communications_transponder,,http://www.poi-factory.com/node/2227,,,,223.78,131.8,NFM,Public,AMATEUR,,,"offset=-"
KC6LHL,-122.27,37.8,"Oakland",KC6LHL,communications_transponder,,http://www.poi-factory.com/node/2227,,,,224.16,156.7,NFM,Public,AMATEUR,,,"offset=-"
WA6YOP,-122.27,37.8,"Oakland",WA6YOP,communications_transponder,,http://www.poi-factory.com/node/2227,,,,224.76,85.4,NFM,Public,AMATEUR,,,"offset=-"
WD6EZC,-122.32,37.56,"San",WD6EZC,communications_transponder,,http://www.poi-factory.com/node/2227,,,,Pablo,82.5,NFM,Public,AMATEUR,,,"offset=224.3MHz"
N7UQA,-122.33,48.42,"Mt",N7UQA,communications_transponder,,http://www.poi-factory.com/node/2227,,,,Vernon,103.5,NFM,Public,AMATEUR,,,"offset=223.88MHz"
KU6U,-122.33,45.29,"Estacada",KU6U,communications_transponder,,http://www.poi-factory.com/node/2227,,,,224.98,88.5,NFM,Public,AMATEUR,,,"offset=-"
W7SRZ,-122.34,47.71,"Seattle",W7SRZ,communications_transponder,,http://www.poi-factory.com/node/2227,,,,224.68,,NFM,Public,AMATEUR,,,"offset=-"
WA6CGR,-122.34,37.96,"Santa",WA6CGR,communications_transponder,,http://www.poi-factory.com/node/2227,,,,Anita,100,NFM,Public,AMATEUR,,,"offset=none"
