name,longitude,latitude,location,ref,man_made,operator,source,url,height,ele,communications_transponder:frequency,communications_transponder:tone,communications_transponder:modulation,communications_transponder:access,communications_transponder:service,communications_transponder:polarisation,communications_transponder:power,comment
W7UMH,-122.831175,48.677577,"Mt",W7UMH,communications_transponder,,http://www.poi-factory.com/node/2227,,,,Constitution,110.9,NFM,Public,AMATEUR,,,"offset=29.68MHz"
N0EDS,-122.624939,38.958271,"Clear",N0EDS,communications_transponder,,http://www.poi-factory.com/node/2227,,,,Lake,156.7,NFM,Public,AMATEUR,,,"offset=29.68MHz"
AC6VJ,-122.613823,38.75201,"Middletown",AC6VJ,communications_transponder,,http://www.poi-factory.com/node/2227,,,,29.64,156.7,NFM,Public,AMATEUR,,,"offset=-"
KD6AOG,-122.417068,37.7742,"San",KD6AOG,communications_transponder,,http://www.poi-factory.com/node/2227,,,,Jose,127.3,NFM,Public,AMATEUR,,,"offset=29.62MHz"
N6RKS,-122.417068,37.7742,"San",N6RKS,communications_transponder,,http://www.poi-factory.com/node/2227,,,,Jose,156.7,NFM,Public,AMATEUR,,,"offset=29.66MHz"
AA7UJ,-122.120529,47.673828,"Redmond",AA7UJ,communications_transponder,,http://www.poi-factory.com/node/2227,,,,29.62,100,NFM,Public,AMATEUR,,,"offset=-0.1MHz"
KB6LED,-122.112701,37.384338,"Los",KB6LED,communications_transponder,,http://www.poi-factory.com/node/2227,,,,Altos,156.7,NFM,Public,AMATEUR,,,"offset=29.64MHz"
N6JSL,-121.075951,38.896889,"Auburn",N6JSL,communications_transponder,,http://www.poi-factory.com/node/2227,,,,29.62,156.7,NFM,Public,AMATEUR,,,"offset=-"
K6BFS,-119.764999,37.2197,"Johnstone",K6BFS,communications_transponder,,http://www.poi-factory.com/node/2227,,,,Peak,107.2,NFM,Public,AMATEUR,,,"offset=29.68MHz"
W6KRW,-119.764999,37.2197,"Santiago",W6KRW,communications_transponder,,http://www.poi-factory.com/node/2227,,,,Peak,107.2,NFM,Public,AMATEUR,,,"offset=29.64MHz"
WB6NIL,-119.726059,37.365429,"Ahwahnee",WB6NIL,communications_transponder,,http://www.poi-factory.com/node/2227,,,,29.68,82.5,NFM,Public,AMATEUR,,,"offset=-"
W7JAG,-119.703423,36.825317,"Clovis",W7JAG,communications_transponder,,http://www.poi-factory.com/node/2227,,,,29.62,,NFM,Public,AMATEUR,,,"offset=-"
W6SUV,-118.780121,34.269669,"So",W6SUV,communications_transponder,,http://www.poi-factory.com/node/2227,,,,Lake,156.7,NFM,Public,AMATEUR,,,"offset=none"
NI8H,-118.243469,34.05217,"Los",NI8H,communications_transponder,,http://www.poi-factory.com/node/2227,,,,Angeles,107.2,NFM,Public,AMATEUR,,,"offset=29.62MHz"
K6TY,-118.034264,34.140907,"Arcadia",K6TY,communications_transponder,,http://www.poi-factory.com/node/2227,,,,29.66,107.2,NFM,Public,AMATEUR,,,"offset=-"
N5XTO,-106.300926,31.655479,"Socorro",N5XTO,communications_transponder,,http://www.poi-factory.com/node/2227,,,,29.64,,NFM,Public,AMATEUR,,,"offset=-"
W5DFW,-97.32045,32.72073,"Fort",W5DFW,communications_transponder,,http://www.poi-factory.com/node/2227,,,,Worth,192.8,NFM,Public,AMATEUR,,,"offset=29.66MHz"
KI0K,-96.800194,32.78294,"Dallas",KI0K,communications_transponder,,http://www.poi-factory.com/node/2227,,,,29.62,,NFM,Public,AMATEUR,,,"offset=-"
WB0QQK,-95.89279,41.13625,"Bellevue",WB0QQK,communications_transponder,,http://www.poi-factory.com/node/2227,,,,29.64,,NFM,Public,AMATEUR,,,"offset=-"
K5SOH,-95.702774,30.07513,"Rosehill",K5SOH,communications_transponder,,http://www.poi-factory.com/node/2227,,,,29.68,123,NFM,Public,AMATEUR,,,"offset=-"
