name,longitude,latitude,location,ref,man_made,operator,source,url,height,ele,communications_transponder:frequency,communications_transponder:tone,communications_transponder:modulation,communications_transponder:access,communications_transponder:service,communications_transponder:polarisation,communications_transponder:power,comment
K4LK,-82.786118,27.909328,"Largo",K4LK,communications_transponder,,http://www.poi-factory.com/node/2227,,,,51.84,146.2,NFM,Public,AMATEUR,,,"offset=-0.5MHz"
WB8VTW,-82.719749,28.271379,"Port",WB8VTW,communications_transponder,,http://www.poi-factory.com/node/2227,,,,Richey,100,NFM,Public,AMATEUR,,,"offset=52.94MHz"
W8LBZ,-82.707268,41.44862,"Sandusky",W8LBZ,communications_transponder,,http://www.poi-factory.com/node/2227,,,,53.35,107.2,NFM,Public,AMATEUR,,,"offset=-1MHz"
WO8Z,-82.682991,39.203602,"Ray",WO8Z,communications_transponder,,http://www.poi-factory.com/node/2227,,,,53.81,,NFM,Public,AMATEUR,,,"offset=-1MHz"
KI4SIX,-82.679527,27.770969,"St",KI4SIX,communications_transponder,,http://www.poi-factory.com/node/2227,,,,Petersburg,146.2,NFM,Public,AMATEUR,,,"offset=53.15MHz"
W4ORM,-82.679527,27.770969,"St",W4ORM,communications_transponder,,http://www.poi-factory.com/node/2227,,,,Petersburg,123,NFM,Public,AMATEUR,,,"offset=53.21MHz"
KC4QK,-82.637985,38.478668,"Ashland",KC4QK,communications_transponder,,http://www.poi-factory.com/node/2227,,,,53.01,107.2,NFM,Public,AMATEUR,,,"offset=-1MHz"
N4WWB,-82.580147,36.63728,"Gate",N4WWB,communications_transponder,,http://www.poi-factory.com/node/2227,,,,City,,NFM,Public,AMATEUR,,,"offset=53.21MHz"
WR4AMS,-82.578453,37.276058,"Dorton",WR4AMS,communications_transponder,,http://www.poi-factory.com/node/2227,,,,53.35,,NFM,Public,AMATEUR,,,"offset=-1MHz"
KC8PFI,-82.578011,38.399158,"Kenova",KC8PFI,communications_transponder,,http://www.poi-factory.com/node/2227,,,,53.87,91.5,NFM,Public,AMATEUR,,,"offset=-1MHz"
KF4CIK,-82.573608,28.515692,"Weeki",KF4CIK,communications_transponder,,http://www.poi-factory.com/node/2227,,,,Wachee,100,NFM,Public,AMATEUR,,,"offset=53.13MHz"
WD4BQW,-82.553787,35.600559,"Asheville",WD4BQW,communications_transponder,,http://www.poi-factory.com/node/2227,,,,53.27,100,NFM,Public,AMATEUR,,,"offset=-1MHz"
KB4ABE,-82.458366,27.946609,"Tampa",KB4ABE,communications_transponder,,http://www.poi-factory.com/node/2227,,,,51.64,192.8,NFM,Public,AMATEUR,,,"offset=-0.5MHz"
KB8UIR,-82.395088,39.28236,"Zaleski",KB8UIR,communications_transponder,,http://www.poi-factory.com/node/2227,,,,53.27,,NFM,Public,AMATEUR,,,"offset=-1MHz"
KO4MZ,-82.392502,34.851898,"Greenville",KO4MZ,communications_transponder,,http://www.poi-factory.com/node/2227,,,,53.41,131.8,NFM,Public,AMATEUR,,,"offset=-1MHz"
KA8VDW,-82.364616,41.421879,"Vermillion",KA8VDW,communications_transponder,,http://www.poi-factory.com/node/2227,,,,53.29,107.2,NFM,Public,AMATEUR,,,"offset=-1MHz"
AB4JJ,-82.290581,35.912651,"Mt",AB4JJ,communications_transponder,,http://www.poi-factory.com/node/2227,,,,Mitchell,100,NFM,Public,AMATEUR,,,"offset=53.63MHz"
KN4E,-82.210251,36.347488,"Elizabethton",KN4E,communications_transponder,,http://www.poi-factory.com/node/2227,,,,53.89,88.5,NFM,Public,AMATEUR,,,"offset=-1MHz"
WA4PXV,-82.06456,35.914711,"SprucePine",WA4PXV,communications_transponder,,http://www.poi-factory.com/node/2227,,,,53.05,151.4,NFM,Public,AMATEUR,,,"offset=-1MHz"
KC8POU,-82.05526,38.42001,"Culloden",KC8POU,communications_transponder,,http://www.poi-factory.com/node/2227,,,,53.03,123,NFM,Public,AMATEUR,,,"offset=-1MHz"
W4WTA,-81.97403,33.470829,"Augusta",W4WTA,communications_transponder,,http://www.poi-factory.com/node/2227,,,,53.03,,NFM,Public,AMATEUR,,,"offset=-1MHz"
N4KOX,-81.809418,29.97965,"Penney",N4KOX,communications_transponder,,http://www.poi-factory.com/node/2227,,,,Farms,103.5,NFM,Public,AMATEUR,,,"offset=53.21MHz"
K4DHT,-81.804207,36.47448,"Mountain",K4DHT,communications_transponder,,http://www.poi-factory.com/node/2227,,,,City,100,NFM,Public,AMATEUR,,,"offset=53.33MHz"
K2SSE,-81.747688,28.574869,"Minneola",K2SSE,communications_transponder,,http://www.poi-factory.com/node/2227,,,,53.03,,NFM,Public,AMATEUR,,,"offset=-1MHz"
K8ZFR,-81.722809,41.404049,"Parma",K8ZFR,communications_transponder,,http://www.poi-factory.com/node/2227,,,,53.01,,NFM,Public,AMATEUR,,,"offset=-1MHz"
K4SIX,-81.706566,30.165619,"Orange",K4SIX,communications_transponder,,http://www.poi-factory.com/node/2227,,,,Park,100,NFM,Public,AMATEUR,,,"offset=53.19MHz"
KC5BMJ,-81.690208,30.79999,"Kingsland",KC5BMJ,communications_transponder,,http://www.poi-factory.com/node/2227,,,,51.94,82.5,NFM,Public,AMATEUR,,,"offset=-0.5MHz"
KD4MBN,-81.686188,28.852699,"Eustis",KD4MBN,communications_transponder,,http://www.poi-factory.com/node/2227,,,,53.23,103.5,NFM,Public,AMATEUR,,,"offset=-1MHz"
NS4R,-81.656197,30.332239,"Jacksonville",NS4R,communications_transponder,,http://www.poi-factory.com/node/2227,,,,53.03,103.5,NFM,Public,AMATEUR,,,"offset=-1MHz"
WB4TLC,-81.656197,30.332239,"Jacksonville",WB4TLC,communications_transponder,,http://www.poi-factory.com/node/2227,,,,53.29,,NFM,Public,AMATEUR,,,"offset=-1MHz"
W4RNG,-81.656197,30.332239,"Jacksonville",W4RNG,communications_transponder,,http://www.poi-factory.com/node/2227,,,,53.33,,NFM,Public,AMATEUR,,,"offset=-1MHz"
KF4BJO,-81.648621,35.071541,"Gaffney",KF4BJO,communications_transponder,,http://www.poi-factory.com/node/2227,,,,53.47,,NFM,Public,AMATEUR,,,"offset=-1MHz"
KB8SHE,-81.640999,39.54179,"Waterford",KB8SHE,communications_transponder,,http://www.poi-factory.com/node/2227,,,,53.63,,NFM,Public,AMATEUR,,,"offset=-1MHz"
KF4PXZ,-81.637833,29.64761,"Palatka",KF4PXZ,communications_transponder,,http://www.poi-factory.com/node/2227,,,,53.01,123,NFM,Public,AMATEUR,,,"offset=-1MHz"
WB8YST,-81.631523,38.350491,"Charleston",WB8YST,communications_transponder,,http://www.poi-factory.com/node/2227,,,,53.63,107.2,NFM,Public,AMATEUR,,,"offset=-1MHz"
N8PEI,-81.566513,38.24511,"Marmt",N8PEI,communications_transponder,,http://www.poi-factory.com/node/2227,,,,53.75,141.3,NFM,Public,AMATEUR,,,"offset=-1MHz"
K8ZFR,-81.537895,41.473858,"Shaker",K8ZFR,communications_transponder,,http://www.poi-factory.com/node/2227,,,,Hts,,NFM,Public,AMATEUR,,,"offset=53.83MHz"
WA8GXM,-81.52198,40.79678,"Massillon",WA8GXM,communications_transponder,,http://www.poi-factory.com/node/2227,,,,53.05,136.5,NFM,Public,AMATEUR,,,"offset=-1MHz"
N8XPK,-81.518944,41.081181,"Akron",N8XPK,communications_transponder,,http://www.poi-factory.com/node/2227,,,,53.17,,NFM,Public,AMATEUR,,,"offset=-1MHz"
AB4OE,-81.515419,35.120621,"Blacksburg",AB4OE,communications_transponder,,http://www.poi-factory.com/node/2227,,,,53.03,123,NFM,Public,AMATEUR,,,"offset=-1MHz"
N5CWH,-81.513451,33.916351,"Leesville",N5CWH,communications_transponder,,http://www.poi-factory.com/node/2227,,,,53.27,162.2,NFM,Public,AMATEUR,,,"offset=-1MHz"
AB4JJ,-81.492973,36.403561,"West",AB4JJ,communications_transponder,,http://www.poi-factory.com/node/2227,,,,Jefferson,100,NFM,Public,AMATEUR,,,"offset=53.31MHz"
AB4JJ,-81.492973,36.403561,"West",AB4JJ,communications_transponder,,http://www.poi-factory.com/node/2227,,,,Jefferson,100,NFM,Public,AMATEUR,,,"offset=53.39MHz"
N8QBB,-81.458878,41.518948,"Mayfield",N8QBB,communications_transponder,,http://www.poi-factory.com/node/2227,,,,Hts,,NFM,Public,AMATEUR,,,"offset=51.62MHz"
